rank,layer,head,importance,abs_importance
1,11,6,-0.09817934,0.09817934
2,11,2,-0.040984869,0.040984869
3,1,3,-0.027168512,0.027168512
4,11,7,-0.026481628,0.026481628
5,4,0,-0.019956827,0.019956827
6,1,1,-0.019805908,0.019805908
7,1,4,-0.018609762,0.018609762
8,11,5,-0.017968893,0.017968893
9,1,10,-0.016805172,0.016805172
10,11,1,-0.01572752,0.01572752
11,8,5,-0.015166283,0.015166283
12,9,1,-0.015105724,0.015105724
13,6,10,-0.015089989,0.015089989
14,0,8,-0.013698101,0.013698101
15,6,8,-0.013208866,0.013208866
16,8,2,-0.011856556,0.011856556
17,7,8,-0.01142168,0.01142168
18,5,7,-0.011039853,0.011039853
19,10,5,-0.010835409,0.010835409
20,6,7,-0.010139942,0.010139942
21,5,3,-0.010020971,0.010020971
22,8,11,-0.008949041,0.008949041
23,10,1,-0.008927107,0.008927107
24,2,6,-0.008817434,0.008817434
25,8,1,-0.008768797,0.008768797
26,7,4,-0.008154869,0.008154869
27,7,11,-0.008138657,0.008138657
28,9,8,-0.008058071,0.008058071
29,1,9,-0.007981181,0.007981181
30,7,7,-0.007965803,0.007965803
31,1,0,-0.007458806,0.007458806
32,8,8,-0.006882429,0.006882429
33,7,5,-0.006656647,0.006656647
34,10,3,-0.006649256,0.006649256
35,4,5,-0.006429672,0.006429672
36,5,1,-0.00636673,0.00636673
37,10,7,-0.006113768,0.006113768
38,4,9,-0.006011963,0.006011963
39,5,8,-0.005879402,0.005879402
40,7,10,-0.005635738,0.005635738
41,6,1,-0.005320787,0.005320787
42,9,5,-0.005101442,0.005101442
43,7,9,-0.004925728,0.004925728
44,8,10,-0.004779339,0.004779339
45,6,0,-0.00463295,0.00463295
46,4,1,-0.004537821,0.004537821
47,0,3,-0.004507065,0.004507065
48,6,5,-0.004405022,0.004405022
49,10,8,-0.00323534,0.00323534
50,9,0,-0.00290513,0.00290513
